--------- beginning of system
--------- beginning of main
09-24 16:23:59.693 I/Sentry  ( 9514): CALLOUT[replay] 11:54:03 PDT ADVISORY PASSING: N388KM passing, diverging.
09-24 16:24:03.394 I/Sentry  ( 9514): SPEAK[bundled] [advisory] N 3 8 8 K M passing, diverging.
09-24 16:24:03.398 I/Sentry  ( 9514): CLIPVOICE 4310 ms: l_n@0 n3@405 n8@879 n8@1309 l_k@1739 l_m@2162 passing_diverging@2969
09-24 16:24:06.458 I/Sentry  ( 9514): Voice: TTS init failed status=-1 (attempt 8, engines=0); bundled voice in use
09-24 16:24:44.726 I/Sentry  ( 9514): CALLOUT[replay] 11:54:48 PDT CAUTION PROXIMITY: Caution. Traffic, N388KM, northeast, 2.1 miles, 2,300 above, diverging.
09-24 16:24:45.267 I/Sentry  ( 9514): SPEAK[bundled] [caution] Caution. Traffic, N 3 8 8 K M, northeast, 2.1 miles, 2,300 above, diverging.
09-24 16:24:45.268 I/Sentry  ( 9514): CLIPVOICE 9943 ms: caution@0 . traffic@713 , l_n@1324 n3@1729 n8@2203 n8@2633 l_k@3063 l_m@3486 , northeast@4353 , n2@5159 point@5579 n1@6043 miles@6451 , t2@7099 h3@7831 above@8585 , diverging@9191
09-24 16:24:46.484 I/Sentry  ( 9514): Voice: TTS init failed status=-1 (attempt 9, engines=0); bundled voice in use
09-24 16:25:05.744 I/Sentry  ( 9514): CALLOUT[replay] 11:55:09 PDT INFO CLEAR: N388KM clear, diverging.
09-24 16:25:06.037 I/Sentry  ( 9514): SPEAK[bundled] [info] N 3 8 8 K M clear, diverging.
09-24 16:25:06.038 I/Sentry  ( 9514): CLIPVOICE 4107 ms: l_n@0 n3@405 n8@879 n8@1309 l_k@1739 l_m@2162 clear_diverging@2969
09-24 16:25:27.764 I/Sentry  ( 9514): REPLAY finished
09-24 16:25:31.487 I/Sentry  ( 9514): Voice: TTS init failed status=-1 (attempt 10, engines=0); bundled voice in use
09-24 16:25:35.775 I/Sentry  ( 9514): Service destroyed (mode=OFF)
