09-25 13:18:50.850 I/Sentry  ( 6247): Power-on: re-armed (Sentry was armed at power-off) (android.intent.action.MY_PACKAGE_REPLACED)
09-25 13:18:51.004 I/Sentry  ( 6247): Service created
09-25 13:18:51.036 I/Sentry  ( 6247): TFRs: loaded 1 from disk cache
09-25 13:18:51.056 I/Sentry  ( 6247): ARMED (live)
09-25 13:18:51.056 I/Sentry  ( 6247): Resources: measuring every 10 s (4 cores, CLK_TCK 100)
09-25 13:18:51.061 I/Sentry  ( 6247): ALERT[live] 13:18:51 INFO SYSTEM/OTHER sound=- banner=NONE: Sentry armed
09-25 13:18:51.061 I/Sentry  ( 6247): Selection: bound to 1581DEMO000000000007
09-25 13:18:51.062 I/Sentry  ( 6247): ALERT[live] 13:18:51 CAUTION RESTARTED/OTHER sound=bound/full banner=POPUP: Sentry armed after restart
09-25 13:18:51.085 I/Sentry  ( 6247): Controller GPS listening
09-25 13:18:51.092 I/Sentry  ( 6247): SOUND bound/full level_default
09-25 13:18:56.063 I/Sentry  ( 6247): ALERT[live] 13:18:56 INFO SELECTION/OTHER sound=- banner=NONE: Waiting for this controller's aircraft.
09-25 13:19:06.071 I/Sentry  ( 6247): ALERT[live] 13:19:06 CAUTION CONTROLLER_GPS_LOST/OTHER sound=- banner=NONE: Controller GPS unavailable. Nothing protected.
09-25 13:19:10.126 I/Sentry  ( 6344): Power-on: re-armed (Sentry was armed at power-off) (android.intent.action.MY_PACKAGE_REPLACED)
09-25 13:19:10.283 I/Sentry  ( 6344): Service created
09-25 13:19:10.317 I/Sentry  ( 6344): TFRs: loaded 1 from disk cache
09-25 13:19:10.334 I/Sentry  ( 6344): ARMED (live)
09-25 13:19:10.334 I/Sentry  ( 6344): Resources: measuring every 10 s (4 cores, CLK_TCK 100)
09-25 13:19:10.339 I/Sentry  ( 6344): ALERT[live] 13:19:10 INFO SYSTEM/OTHER sound=- banner=NONE: Sentry armed
09-25 13:19:10.340 I/Sentry  ( 6344): ALERT[live] 13:19:10 CAUTION RESTARTED/OTHER sound=bound/full banner=POPUP: Sentry armed after restart
09-25 13:19:10.341 I/Sentry  ( 6344): Selection: bound to 1581DEMO000000000007
09-25 13:19:10.367 I/Sentry  ( 6344): Controller GPS listening
09-25 13:19:10.392 I/Sentry  ( 6344): SOUND bound/full level_default
09-25 13:19:15.343 I/Sentry  ( 6344): ALERT[live] 13:19:15 INFO SELECTION/OTHER sound=- banner=NONE: Waiting for this controller's aircraft.
09-25 13:19:21.349 I/Sentry  ( 6344): ALERT[live] 13:19:21 INFO SELECTION/OTHER sound=bound/full banner=POPUP: Watching DEMO-7, this controller's aircraft.
09-25 13:19:21.370 I/Sentry  ( 6344): SOUND bound/full level_default
09-25 13:19:26.360 I/Sentry  ( 6344): ALERT[live] 13:19:26 ADVISORY TRAFFIC/ESCALATION sound=advisory/short banner=POPUP: △ ADVISORY · DEMO22 Cessna · SW 2.5 mi · 0 kt · ≈700 above, level · Not closing S=7.73
09-25 13:19:26.419 I/Sentry  ( 6344): SOUND advisory/short level_default
09-25 13:20:14.571 I/Sentry  ( 6550): Power-on: re-armed (Sentry was armed at power-off) (android.intent.action.MY_PACKAGE_REPLACED)
09-25 13:20:14.828 I/Sentry  ( 6550): Service created
09-25 13:20:14.868 I/Sentry  ( 6550): TFRs: loaded 1 from disk cache
09-25 13:20:14.884 I/Sentry  ( 6550): ARMED (live)
09-25 13:20:14.884 I/Sentry  ( 6550): Resources: measuring every 10 s (4 cores, CLK_TCK 100)
09-25 13:20:14.890 I/Sentry  ( 6550): ALERT[live] 13:20:14 INFO SYSTEM/OTHER sound=- banner=NONE: Sentry armed
09-25 13:20:14.891 I/Sentry  ( 6550): ALERT[live] 13:20:14 CAUTION RESTARTED/OTHER sound=bound/full banner=POPUP: Sentry armed after restart
09-25 13:20:14.893 I/Sentry  ( 6550): Selection: bound to 1581DEMO000000000007
09-25 13:20:14.937 I/Sentry  ( 6550): Controller GPS listening
09-25 13:20:14.960 I/Sentry  ( 6550): SOUND bound/full level_default
09-25 13:20:15.889 I/Sentry  ( 6550): ALERT[live] 13:20:15 INFO SELECTION/OTHER sound=bound/full banner=POPUP: Watching DEMO-7, this controller's aircraft.
09-25 13:20:15.912 I/Sentry  ( 6550): SOUND bound/full level_default
09-25 13:20:20.900 I/Sentry  ( 6550): ALERT[live] 13:20:20 ADVISORY TRAFFIC/ESCALATION sound=advisory/short banner=POPUP: △ ADVISORY · DEMO22 Cessna · SW 2.5 mi · 0 kt · ≈700 above, level · Not closing S=7.73
09-25 13:20:20.966 I/Sentry  ( 6550): SOUND advisory/short level_default
09-25 13:20:58.908 I/Sentry  ( 6695): Power-on: re-armed (Sentry was armed at power-off) (android.intent.action.MY_PACKAGE_REPLACED)
09-25 13:20:59.064 I/Sentry  ( 6695): Service created
09-25 13:20:59.097 I/Sentry  ( 6695): TFRs: loaded 1 from disk cache
09-25 13:20:59.115 I/Sentry  ( 6695): ARMED (live)
09-25 13:20:59.115 I/Sentry  ( 6695): Resources: measuring every 10 s (4 cores, CLK_TCK 100)
09-25 13:20:59.122 I/Sentry  ( 6695): ALERT[live] 13:20:59 INFO SYSTEM/OTHER sound=- banner=NONE: Sentry armed
09-25 13:20:59.123 I/Sentry  ( 6695): ALERT[live] 13:20:59 CAUTION RESTARTED/OTHER sound=bound/full banner=POPUP: Sentry armed after restart
09-25 13:20:59.125 I/Sentry  ( 6695): Selection: bound to 1581DEMO000000000007
09-25 13:20:59.162 I/Sentry  ( 6695): Controller GPS listening
09-25 13:20:59.171 I/Sentry  ( 6695): SOUND bound/full level_default
09-25 13:21:00.121 I/Sentry  ( 6695): ALERT[live] 13:21:00 INFO SELECTION/OTHER sound=bound/full banner=POPUP: Watching DEMO-7, this controller's aircraft.
09-25 13:21:00.143 I/Sentry  ( 6695): SOUND bound/full level_default
09-25 13:21:05.135 I/Sentry  ( 6695): ALERT[live] 13:21:05 ADVISORY TRAFFIC/ESCALATION sound=advisory/short banner=POPUP: △ ADVISORY · DEMO22 Cessna · SW 2.5 mi · 0 kt · ≈700 above, level · Not closing S=7.73
09-25 13:21:05.228 I/Sentry  ( 6695): SOUND advisory/short level_default
09-25 13:21:55.718 I/Sentry  ( 6695): REPLAY start: Demo encounter: DEMO-1 vs N388KM (SYNTHETIC crossing variant) at 1.0x
09-25 13:22:00.724 I/Sentry  ( 6695): ALERT[replay] 11:51:55 PDT INFO SELECTION/OTHER sound=- banner=NONE: Waiting for this controller's aircraft.
09-25 13:23:01.776 I/Sentry  ( 6695): ALERT[replay] 11:52:56 PDT CAUTION CYLINDER_ENTRY/OTHER sound=- banner=NONE: Traffic entering advisory area: SW 3.0 mi · 156 kt · 2,500 above, climbing S=10.37
09-25 13:23:01.776 I/Sentry  ( 6695): ALERT[replay] 11:52:56 PDT CAUTION TRAFFIC/ESCALATION sound=caution/full banner=POPUP: ◆ CAUTION · N388KM · SW 3.0 mi · 156 kt · 2,500 above, climbing · Closest 1.0 mi in 1 min 9 s · Clear: move NW S=10.37
09-25 13:23:01.809 I/Sentry  ( 6695): SOUND caution/full level_default
09-25 13:23:08.783 I/Sentry  ( 6695): ALERT[replay] 11:53:03 PDT WARNING TRAFFIC/ESCALATION sound=warning/full banner=POPUP: ⚠ WARNING · N388KM · SW 2.6 mi · 156 kt · 2,600 above, climbing · Closest 2,500 ft in 52 s · Clear: move NW S=9.55
09-25 13:23:08.811 I/Sentry  ( 6695): SOUND warning/full level_default · alert latency 0.3 s (WARNING a479ef)
09-25 13:23:20.743 I/Sentry  ( 6695): REPLAY stopped
09-25 13:23:20.747 I/Sentry  ( 6695): Selection: bound to 1581DEMO000000000007
09-25 13:23:20.750 I/Sentry  ( 6695): ARMED (live)
